ID,Question,Yes,No,Prereqs,Tags,
1,Does your application require authorization of users?,,,0,authorizeActors,Done
2,Do you implement a cross domain policy?,942,285;286;284;862,1,authorizeActors,
3,Do you require a user to confirm potentially harmful behaviors( such as modifing data)?,863; 284,862,1,authorizeActors,
4,Do you store data on any type of system that does not enforce access control (ex. CD; Floppy; USB drive),284; 921,,1,authorizeActors,
5,Do you define user groups?,,286,1,authorizeActors,
6,Do you use any obscure or purposly confusing methods to try and hide sensitive information?,656,,1,authorizeActors,
7,Do you validate a users permissions every time they try to access data?,,284;283;862,1,authorizeActors,
8,Do you parameterize your queries and ensure they conform to your business rules?,,566,1,authorizeActors,
9,Do you parse and canonicalize all requested URLs before you authenticate?,,647,1,authorizeActors,
10,Do you perform an authorization check when a user attempts to acess a resource or perform an action?,,283;284;285,1,authorizeActors,
11,Do you employ proper access control to sensitive data?,,921,1,authorizeActors,
12,Does your application prevent dangerous privelege chaining?,268,,1,authorizeActors,
13,Does your application correctly change permissions when raising/lower privelege levels?,,271,1,authorizeActors,
14,Do you have predictable objects in your application such as time; proccess ID; etc?,341,,1,authorizeActors,
15,Does you application prevent private data from being improperly viewed?,359,,1,authorizeActors,
16,Do you prevent the uploading of known dangerous file types?,434,,1,authorizeActors,
17,Does your application store sensitive data in public facing files or directories?,538,,1,authorizeActors,
18,Does your application allow for the external user control of system settings?,15,,1,authorizeActors,
19,Does your application load libraries or execute commands from outside sources?,114,,1,authorizeActors,
20,Do you store sensitive data; such as usernames/passwords; under the web root or FTP root of your application?,219;220,,1,authorizeActors,
21,Are you using correct privelege/permission management implementations?,,265;270;272;273;274;275;653;732,1,authorizeActors,
22,Does your application verify ownership of all objects/resources used?,,282;708,1,authorizeActors,
23,Does your application verify identities of both ends of a communication channel?,,300,1,authorizeActors,
24,Do you close all file descriptors before executing another command?,,403,1,authorizeActors,
25,Do you properly protect all communication channels you use?,,419;420;923,1,authorizeActors,
26,Do you enforce authorization on all URLs; files; and scripts?,,425;426,1,authorizeActors,
27,Do you properly separate file access between control spheres?,,527;528;529;530;552;668;669;673,1,authorizeActors,
28,Do you sanitize and validate user-controller primary keys in your SQL?,,566;639,1,authorizeActors,
29,Do you store critical data in a location that can potentially be accessed by unauthorized users?,642,,1,authorizeActors,
30,Does your admin have full access to your security?,,671,1,authorizeActors,
31,Do you properly limit resource allocation within your application?,,770,1,authorizeActors,
32,If implementing DTDs; do you restrict it to the specific control sphere?,,611;827,1,authorizeActors,
33,Do you implement a custom URL scheme?,939,,1,authorizeActors,
34,Does your system rely on any form of user input?,807,,0,crossCutting,
35,When using cookies; do you check that the cookie is valid?,,784,0,crossCutting,
36,Have you assumed that certain events can never or are highly unlikely to occur? ,703;754,,0,crossCutting,
37,Have you ignored potential issues by claiming they are impossible to occur?,703;704,,36,crossCutting,
38,Do you properly handle all potential exceptions?,,392; 544,0,crossCutting,
39,Do you rely on the client to enforce server side security?,602,,0,crossCutting,
