ID	Name	Description	CAWE_ID	STRIDE Type(s)
1	Insufficiently Protected or Transmitted Credentials	An attacker could gain access to user accounts and access sensitive data used by the user accounts if the users credentials are insufficiently protected or transmitted without encryption.	522	Elevation of Privilege
2	Bypass through Modified Client	An attacker can use a modified client to gain access by bypassing the server's authentication check, thus gaining access	602, 603	Elevation of Privilege
3	Input Validation Bypass	Client-side validation checks can be easily bypassed, allowing malformed or unexpected input to pass into the application, potentially as trusted data. This may lead to unexpected states, behaviors and possibly a resulting crash. 	602	Denial of Service, Elevation of Privilege
4	Information Disclosure	If a non-canonical URL is used, the server may choose to return the contents of the file, instead of pre-processing the file (e.g. as a program).	647	Information Disclosure, Elevation of Privilege
5	Malformed URL Attack	An attacker can use different URL formatting or encodings to bypass a system's authorization decision, thus gaining access	551, 647	Elevation of Privilege
6	Alternate Name Attack	The software performs authentication based on the name of a resource being accessed, or the name of the actor performing the access, but it does not properly check all possible names for that resource or actor. An attacker can use different name to bypass authentication 	289	Elevation of Privilege
7	Improper Implementation of Authentication Algorithm	An attacker may be able to use reflection attacks or brute force to bypass authentication in a system with an incorrect implementation of authentication algorithm	303	Elevation of Privilege
8	Security through Obscurity	An attacker can reverse engineer an algorithm that relies on obscurity	656	Tampering with data, Information Disclosure, Denial of Service
10	Credentials Spoofing	An attacker can sniff networks to obtain messages sent to a server for authentication, and resend them to bypass authentication and gain access to sensitive data	294	Spoofing Identity
11	Authentication Protocol Reflection Attacks	An attacker can abuse an authentication protocol by sending it the same key that it receives, allowing for a reflection attack to bypass authentication	301	Spoofing Identity
12	IP Spoofing	An attacker can spoof or encode an IP address to bypass a system using IP addresses for authentication, granting access to sensitive data	291	Spoofing Identity
13	Acceptance of Masked Data	An attacker could package untrusted data with trusted data to bypass protection mechanisms to gain access to and possibly modify sensitive data.	349	Tampering with data, Elevation of Privilege
14	Reliance on Untrusted Inputs in a Security Decision	The application uses a protection mechanism that relies on the existence or values of an input, but the input can be modified by an untrusted actor in a way that bypasses the protection mechanism.	807	Information Disclosure, Denial of Service, Elevation of Privilege
15	Exploitation of Assumed-Immutable Data	An attacker can modify assumed-immutable data to bypass authentication, such as cookies or environment variables, thus gaining access to sensitive data	302	Elevation of Privilege
16	Modification of Control Spheres through Data Files	An attacker can modify the data files to gain privileges not intended, thus gaining access	673	Elevation of Privilege
17	XPath Injection	An attacker can modify XPath expressions using improperly neutralized inputs. This can allow an attacker to bypass security checks, access unauthorized data, control the application flow, or modify application logic.	643	Information Disclosure, Elevation of Privilege
18	Alternate Path or Channel Exploit	An attacker can abuse an alternate path of a system that has poor or no authentication to bypass the system's authentication and gain access to sensitive data	288	Elevation of Privilege
19	Insufficient Proof of Identity	When an actor claims to have a given identity, the software does not prove or insufficiently proves that the claim is correct.	287	Spoofing Identity
20	Pass the Hash	If an attacker can obtain the password hash for a user, they can bypass authentication without ever knowing the user's password, thus gaining access	836	Elevation of Privilege
21	Exploitation of Modifiable User Key	An authenticated user (attacker) can retrieve another user's record in the system based on some key value that is under user control. 	639	Elevation of Privilege
23	Impersonation by Referer Field	An attacker can modify the referer field in HTML requests to bypass authentication in a system that relies on the referer field for authentication, granting access to sensitive data	293	Spoofing Identity
24	Exploitation through Hard-Coded Cryptographic Key	If hard-coded cryptographic keys are used, it is almost certain that malicious users will gain access through the account in question.	321	Elevation of Privilege
25	Exploitation Through Expired Key	The cryptographic key in question may be compromised, providing a malicious user with a method for authenticating as the victim.	324	Elevation of Privilege
26	Poor Password Requirements	An attacker can easily abuse weak password requirements by using scripts to perform brute force attacks, thus gaining access	521	Elevation of Privilege
27	Exploitation through Hard-Coded Credentials	Use of hard-coded credentials allows for attackers to easily gain unauthorized access to sensitive data	259, 798	Elevation of Privilege, Information Disclosure, Spoofing Identity
28	Use of Empty Password	The application is exposed to even the most basic of attacks with an empty password, any brute force script will break in. As a result it is possible for an attacker to gain access to sensitive data.	258	Elevation of Privilege
29	Exploitation through Weak Recovery Mechanism	An attacker may take advantage of weak recovery mechanisms to undermine an otherwise strong password scheme, to bypass authentication and gain access	640	Spoofing Identity
30	Exploitation through Password Change	If an attacker can change a user's password without needing verification, they can gain access	620	Spoofing Identity
32	Improper Expiration of Password	As passwords age, the probability that they are compromised by an attacker grows.	262, 263	Spoofing Identity
33	Unrestricted Authentication Attempts	An attacker can implement scripts to brute force passwords if no restriction of login attempts are implemented, thus gaining access	307	Elevation of Privilege
34	Lack of Multi-Factor Authentication	A system is far more susceptible to attacks by malicious users if there is only one method of authentication 	308	Elevation of Privilege
